subj	date	Experiment	SessionTime	level	Procedure	Grid1.OnsetTime	Delay.OnsetTime	Target.OnsetTime	Delay_time	ITI	Load	Block	Cue1_img	Cue2_img	Cue3_img	Target_img	Target.RT	Target.RTTime	Target.ACC	Match
10616	20131023	1_A	16:21:08	2	 cueDelay	 279677	 281177		 3000	 2000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cue	 286177			 NA	 4000	 high		 Cue4.JPG	 Cue6.JPG	 Cue7.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelay	 291677	 293177		 1500	 1000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 295677	 297177	 300211	 3000	 1000	 high		 Cue5.JPG	 Cue3.JPG	 Cue7.JPG	 Target2468.JPG	 1471	 301682	 1	 no
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 303727	 305227	 306744	 1500	 4000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 Target2468.JPG	 1088	 307832	 1	 yes
10616	20131023	1_A	16:21:08	2	 cueDelay	 313261	 314761		 3000	 1000	 high		 Cue6.JPG	 Cue8.JPG	 Cue1.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelay	 318761	 320261		 4500	 2000	 high		 Cue2.JPG	 Cue7.JPG	 Cue5.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 326761	 328261	 332778	 4500	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 Target1357.JPG	 1104	 333882	 1	 yes
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 336295	 337795	 340795	 3000	 1000	 high		 Cue8.JPG	 Cue6.JPG	 Cue2.JPG	 Target1358.JPG	 1073	 341868	 1	 yes
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 344312	 345812	 350328	 4500	 2000	 high		 Cue1.JPG	 Cue4.JPG	 Cue7.JPG	 Target2368.JPG	 1516	 351844	 1	 no
10616	20131023	1_A	16:21:08	2	 cue	 354845			 NA	 4000	 high		 Cue3.JPG	 Cue7.JPG	 Cue6.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelay	 360345	 361845		 4500	 2000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelay	 368345	 369846		 1500	 4000	 high		 Cue5.JPG	 Cue1.JPG	 Cue8.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cue	 375346			 NA	 16000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 392846	 394346	 397346	 3000	 1000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 Target2368.JPG	 1811	 399157	 1	 yes
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 400863	 402363	 406863	 4500	 4000	 high		 Cue2.JPG	 Cue8.JPG	 Cue6.JPG	 Target1467.JPG	 1007	 407870	 1	 yes
10616	20131023	1_A	16:21:08	2	 cue	 413380			 NA	 1000	 high		 Cue8.JPG	 Cue4.JPG	 Cue1.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cue	 415880			 NA	 2000	 low		 Cue1.JPG	 Cue1.JPG	 Cue1.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 419380	 420880	 422397	 1500	 1000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 Target1467.JPG	 1119	 423516	 1	 no
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 425913	 427413	 428930	 1500	 2000	 high		 Cue6.JPG	 Cue1.JPG	 Cue4.JPG	 Target2357.JPG	 1635	 430565	 0	 no
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 433447	 434947	 436464	 1500	 8000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 Target1468.JPG	 823	 437287	 1	 yes
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 446980	 448481	 451514	 3000	 4000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 Target1367.JPG	 1244	 452758	 1	 no
10638	20130514	1_A	09:08:03	2	 cueDelay	 490013	 491513		 1500	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 494012	 495512	 497029	 1500	 1000	 high		 Cue3.JPG	 Cue6.JPG	 Cue2.JPG	 Target1468.JPG	 781	 497810	 0	 yes
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 500545	 502045	 505046	 3000	 1000	 low		 Cue7.JPG	 Cue7.JPG	 Cue7.JPG	 Target2358.JPG	 1349	 506395	 1	 no
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 508562	 510062	 513078	 3000	 8000	 high		 Cue3.JPG	 Cue6.JPG	 Cue7.JPG	 Target1457.JPG	 1352	 514430	 1	 yes
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 523594	 525094	 526594	 1500	 1000	 high		 Cue6.JPG	 Cue2.JPG	 Cue4.JPG	 Target1357.JPG	 1254	 527848	 1	 no
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 530111	 531611	 534627	 3000	 4000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 Target2368.JPG	 781	 535408	 1	 yes
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 541143	 542643	 544160	 1500	 2000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 Target1457.JPG	 746	 544906	 1	 yes
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 548676	 550176	 551693	 1500	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 Target2367.JPG	 833	 552526	 1	 no
10638	20130514	1_A	09:08:03	2	 cue	 555209			 NA	 1000	 high		 Cue5.JPG	 Cue2.JPG	 Cue3.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 557709	 559209	 560726	 1500	 1000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 Target2357.JPG	 765	 561491	 1	 no
10638	20130514	1_A	09:08:03	2	 cue	 564242			 NA	 1000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 566742	 568242	 569743	 1500	 1000	 high		 Cue6.JPG	 Cue7.JPG	 Cue4.JPG	 Target1368.JPG	 1129	 570872	 1	 yes
10638	20130514	1_A	09:08:03	2	 cueDelay	 573259	 574759		 3000	 2000	 low		 Cue1.JPG	 Cue1.JPG	 Cue1.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 579758	 581258	 582775	 1500	 8000	 high		 Cue4.JPG	 Cue2.JPG	 Cue6.JPG	 Target1357.JPG	 792	 583567	 1	 no
10638	20130514	1_A	09:08:03	2	 cueDelay	 593291	 594791		 1500	 2000	 high		 Cue1.JPG	 Cue3.JPG	 Cue6.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 598291	 599791	 602807	 3000	 4000	 high		 Cue3.JPG	 Cue5.JPG	 Cue8.JPG	 Target1467.JPG	 907	 603714	 1	 no
10638	20130514	1_A	09:08:03	2	 cue	 609324			 NA	 16000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cue	 626823			 NA	 2000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelay	 630323	 631823		 3000	 8000	 high		 Cue4.JPG	 Cue2.JPG	 Cue5.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cue	 642822			 NA	 2000	 high		 Cue1.JPG	 Cue4.JPG	 Cue5.JPG	 NA				 NA
