subj	date	SessionTime	level	Procedure	Grid1.OnsetTime	ITI	Load	Block	Cue1_img	Cue2_img	Cue3_img	Target_img	Target.RT	Target.RTTime	Target.ACC
10616	20131023	16:21:08	2	 cueDelayProbe	 169958	 1000	 high		 Cue6.JPG	 Cue7.JPG	 Cue4.JPG	 Target1368.JPG	 1351	 174342	 1
10616	20131023	16:21:08	2	 cueDelay	 176508	 2000	 low		 Cue1.JPG	 Cue1.JPG	 Cue1.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelayProbe	 183008	 8000	 high		 Cue4.JPG	 Cue2.JPG	 Cue6.JPG	 Target1357.JPG	 898	 186923	 1
10616	20131023	16:21:08	2	 cueDelay	 196542	 2000	 high		 Cue1.JPG	 Cue3.JPG	 Cue6.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelayProbe	 201542	 4000	 high		 Cue3.JPG	 Cue5.JPG	 Cue8.JPG	 Target1467.JPG	 1000	 207075	 1
10616	20131023	16:21:08	2	 cue	 212592	 16000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 NA			
10616	20131023	16:21:08	2	 cue	 230093	 2000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelay	 233593	 8000	 high		 Cue4.JPG	 Cue2.JPG	 Cue5.JPG	 NA			
10616	20131023	16:21:08	2	 cue	 246093	 2000	 high		 Cue1.JPG	 Cue4.JPG	 Cue5.JPG	 NA			
10616	20131023	16:21:08	2	 cue	 249593	 1000	 high		 Cue6.JPG	 Cue1.JPG	 Cue8.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelay	 252093	 1000	 high		 Cue5.JPG	 Cue8.JPG	 Cue3.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelay	 256093	 1000	 low		 Cue7.JPG	 Cue7.JPG	 Cue7.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelayProbe	 260093	 1000	 high		 Cue4.JPG	 Cue8.JPG	 Cue6.JPG	 Target1358.JPG	 1585	 264712	 0
10616	20131023	16:21:08	2	 cueDelayProbe	 266643	 2000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 Target1357.JPG	 975	 273635	 1
10616	20131023	16:21:08	2	 cue	 277177	 1000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelay	 279677	 2000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA			
10616	20131023	16:21:08	2	 cue	 286177	 4000	 high		 Cue4.JPG	 Cue6.JPG	 Cue7.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelay	 291677	 1000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelayProbe	 295677	 1000	 high		 Cue5.JPG	 Cue3.JPG	 Cue7.JPG	 Target2468.JPG	 1471	 301682	 1
10616	20131023	16:21:08	2	 cueDelayProbe	 303727	 4000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 Target2468.JPG	 1088	 307832	 1
10616	20131023	16:21:08	2	 cueDelay	 313261	 1000	 high		 Cue6.JPG	 Cue8.JPG	 Cue1.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelay	 318761	 2000	 high		 Cue2.JPG	 Cue7.JPG	 Cue5.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelayProbe	 326761	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 Target1357.JPG	 1104	 333882	 1
10616	20131023	16:21:08	2	 cueDelayProbe	 336295	 1000	 high		 Cue8.JPG	 Cue6.JPG	 Cue2.JPG	 Target1358.JPG	 1073	 341868	 1
10616	20131023	16:21:08	2	 cueDelayProbe	 344312	 2000	 high		 Cue1.JPG	 Cue4.JPG	 Cue7.JPG	 Target2368.JPG	 1516	 351844	 1
10616	20131023	16:21:08	2	 cue	 354845	 4000	 high		 Cue3.JPG	 Cue7.JPG	 Cue6.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelay	 360345	 2000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelay	 368345	 4000	 high		 Cue5.JPG	 Cue1.JPG	 Cue8.JPG	 NA			
10616	20131023	16:21:08	2	 cue	 375346	 16000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelayProbe	 392846	 1000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 Target2368.JPG	 1811	 399157	 1
10616	20131023	16:21:08	2	 cueDelayProbe	 400863	 4000	 high		 Cue2.JPG	 Cue8.JPG	 Cue6.JPG	 Target1467.JPG	 1007	 407870	 1
10616	20131023	16:21:08	2	 cue	 413380	 1000	 high		 Cue8.JPG	 Cue4.JPG	 Cue1.JPG	 NA			
10616	20131023	16:21:08	2	 cue	 415880	 2000	 low		 Cue1.JPG	 Cue1.JPG	 Cue1.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelayProbe	 419380	 1000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 Target1467.JPG	 1119	 423516	 1
10616	20131023	16:21:08	2	 cueDelayProbe	 425913	 2000	 high		 Cue6.JPG	 Cue1.JPG	 Cue4.JPG	 Target2357.JPG	 1635	 430565	 0
10616	20131023	16:21:08	2	 cueDelayProbe	 433447	 8000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 Target1468.JPG	 823	 437287	 1
10616	20131023	16:21:08	2	 cueDelayProbe	 446980	 4000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 Target1367.JPG	 1244	 452758	 1
			1												
10638	20130514	09:08:03	2	 cueDelay	 490013	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelayProbe	 494012	 1000	 high		 Cue3.JPG	 Cue6.JPG	 Cue2.JPG	 Target1468.JPG	 781	 497810	 0
10638	20130514	09:08:03	2	 cueDelayProbe	 500545	 1000	 low		 Cue7.JPG	 Cue7.JPG	 Cue7.JPG	 Target2358.JPG	 1349	 506395	 1
10638	20130514	09:08:03	2	 cueDelayProbe	 508562	 8000	 high		 Cue3.JPG	 Cue6.JPG	 Cue7.JPG	 Target1457.JPG	 1352	 514430	 1
10638	20130514	09:08:03	2	 cueDelayProbe	 523594	 1000	 high		 Cue6.JPG	 Cue2.JPG	 Cue4.JPG	 Target1357.JPG	 1254	 527848	 1
10638	20130514	09:08:03	2	 cueDelayProbe	 530111	 4000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 Target2368.JPG	 781	 535408	 1
10638	20130514	09:08:03	2	 cueDelayProbe	 541143	 2000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 Target1457.JPG	 746	 544906	 1
10638	20130514	09:08:03	2	 cueDelayProbe	 548676	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 Target2367.JPG	 833	 552526	 1
10638	20130514	09:08:03	2	 cue	 555209	 1000	 high		 Cue5.JPG	 Cue2.JPG	 Cue3.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelayProbe	 557709	 1000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 Target2357.JPG	 765	 561491	 1
10638	20130514	09:08:03	2	 cue	 564242	 1000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelayProbe	 566742	 1000	 high		 Cue6.JPG	 Cue7.JPG	 Cue4.JPG	 Target1368.JPG	 1129	 570872	 1
10638	20130514	09:08:03	2	 cueDelay	 573259	 2000	 low		 Cue1.JPG	 Cue1.JPG	 Cue1.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelayProbe	 579758	 8000	 high		 Cue4.JPG	 Cue2.JPG	 Cue6.JPG	 Target1357.JPG	 792	 583567	 1
10638	20130514	09:08:03	2	 cueDelay	 593291	 2000	 high		 Cue1.JPG	 Cue3.JPG	 Cue6.JPG	 NA			
